Código OACI;CIAD;Nome;Município;UF;Latitude;Longitude;LatGeoPoint;LonGeoPoint;Operação;Tipo;Validade do Registro
SJWJ;SP0673;HPE;São Paulo;SP;23 40 12S;046 42 11W;-23.67;-46.7031;VFR;PRIV;2018-07-19Z
SDSZ;SP0421;Banco Safra;São Paulo;SP;23 33 29S;046 39 35W;-23.5581;-46.6597;VFR;PRIV;2019-12-26Z
SJMG;SP0634;Mega Mix;São Paulo;SP;23 32 09S;046 37 07W;-23.5358;-46.6186;VFR;PRIV;2018-07-19Z
SITO;SP0554;Berrini One;São Paulo;SP;23 35 54S;046 41 26W;-23.5983;-46.6906;VFR;PRIV;2018-07-19Z
SDBF;SP0295;Porto Seguro;São Paulo;SP;23 31 49S;046 38 43W;-23.5303;-46.6453;VFR;PRIV;2018-07-19Z
SIHD;SP0499;Divena;São Paulo;SP;23 35 54S;046 37 20W;-23.5983;-46.6222;VFR;PRIV;2018-07-19Z
SIGO;SP0495;Condomínio Edifício Paulista Plaza;São Paulo;SP;23 34 25S;046 38 31W;-23.5736;-46.6419;VFR;PRIV;2018-07-19Z
SDMI;SP9005;HELPN do Comando do 8º Distrito Naval;São Paulo;SP; 23 35 37S; 046 38 47W;-23.5936;-46.6464;VFR;MIL;2023-06-15Z
SJQH;SP0650;Hospital de Clínicas Municipal;São Bernardo do Campo;SP;23 43 59S;046 34 40W;-23.7331;-46.5778;VFR;PRIV;2018-07-19Z
SDLB;SP0380;Metropolitan Office;São Paulo;SP;23 34 52S;046 40 58W;-23.5811;-46.6828;VFR;PRIV;2022-01-13Z
SDEA;SP0313;Edifício HSBC Tower;São Paulo;SP;23 34 59S;046 41 02W;-23.5831;-46.6839;VFR;PRIV;2018-07-19Z
SBOP;SP1309;Arena Corinthians;São Paulo;SP; 23 32 39S; 046 28 40W;-23.5442;-46.4778;VFR;PRIV;2020-10-29Z
SNRE;SP0725;Ellece;Guarulhos;SP;23 28 20S;046 25 58W;-23.4722;-46.4328;VFR;PRIV;2018-07-19Z
SNNS;SP0860;VLI Tiplam;Santos;SP; 23 52 15S; 046 21 57W;-23.8708;-46.3658;VFR;PRIV;2024-08-22Z
SDFV;SP0331;Federação Paulista de Futebol;São Paulo;SP; 23 31 20S; 046 40 02W;-23.5222;-46.6672;VFR;PRIV;2021-07-08Z
SDVU;SP0437;Conde Francisco Matarazzo;São Paulo;SP; 23 33 48S; 046 39 10W;-23.5633;-46.6528;VFR;PRIV;2018-12-06Z
SD6M;SP1094;Parque da Cidade Torre B1;São Paulo;SP; 23 37 30S; 046 42 18W;-23.625;-46.705;VFR;PRIV;2021-03-18Z
SDYV;SP0454;SECOVI;São Paulo;SP; 23 36 13.08S; 046 38 53.61W;-23.6036;-46.6481;VFR;PRIV;2025-02-20Z
SSZE;SP0792;Banco Sofisa;São Paulo;SP;23 33 46S;046 39 21W;-23.5628;-46.6558;VFR;PRIV;2021-07-15Z
SDEU;SP0320;Empresarial Anhanguera;Cajamar;SP;23 23 05S;046 49 54W;-23.3847;-46.8317;VFR DIURNA;PRIV;2018-07-19Z
SSXE;SP0856;Monumental Business;São Caetano do Sul;SP; 23 36 53S; 046 34 09W;-23.6147;-46.5692;VFR;PRIV;2019-08-08Z
SDBM;SP0298;Beneficência Portuguesa;São Paulo;SP; 23 34 04S; 046 38 29W;-23.5678;-46.6414;VFR;PRIV;2018-07-19Z
SDIA;SP0353;Cidade;São Paulo;SP;23 32 45S;046 37 57W;-23.5458;-46.6325;VFR;PRIV;2018-07-19Z
SIMM;SP0529;Edifício Corporate Park;São Paulo;SP; 23 35 15S; 046 40 20W;-23.5875;-46.6722;VFR;PRIV;2019-02-07Z
SJIW;SP0628;Helicenter Alphaville;Santana de Parnaíba;SP; 23 28 31S; 046 49 43W;-23.4753;-46.8286;VFR;PRIV;2022-11-03Z
SSQY;SP0774;Centro Empresarial de São Paulo;São Paulo;SP;23 39 04S;046 43 40W;-23.6511;-46.7278;VFR;PRIV;2024-04-25Z
SDMN;SP0385;Continental Tower;São Paulo;SP;23 36 06S;046 41 57W;-23.6017;-46.6992;VFR;PRIV;2018-07-19Z
SDTN;SP0426;REC Berrini TNU;São Paulo;SP; 23 36 28.92S; 046 41 48.13W;-23.6078;-46.6967;VFR;PRIV;2026-01-01Z
SDUJ;SP0431;Millennium;São Paulo;SP; 23 35 00S; 046 41 00W;-23.5833;-46.6833;VFR;PRIV;2022-05-12Z
SNDM;SP0695;Karina;Guarulhos;SP;23 26 24S;046 26 05W;-23.44;-46.4347;VFR;PRIV;2018-07-19Z
SJNS;SP0636;Grupo Souza Lima ;São Paulo;SP;23 32 05S;046 32 40W;-23.5347;-46.5444;VFR;PRIV;2018-07-19Z
SDDS;SP0311;Sucupira;São Paulo;SP; 23 37 27S; 046 42 12W;-23.6242;-46.7033;VFR;PRIV;2018-10-11Z
